github_url,stars
github.com/emerge-erc/alminer,24
github.com/emhuff/balrog,10
github.com/emmanuelschaan/halogen,7
github.com/emmanuelschaan/lassi,0
github.com/emmanuelschaan/lensquest,6
github.com/emmanuelschaan/thumbstack,8
github.com/emossoux/lifeline,1
github.com/enricocorsaro/diamonds,9
github.com/enricocorsaro/famed,2
github.com/enthought/mayavi,1366
github.com/enthusi/feline,3
github.com/enzo-project/enzo-dev,95
github.com/eorimaging/fhd,20
github.com/epfl-radio-astro/lisa,1
github.com/epfl-radio-astro/pinion,1
github.com/epic-astronomy/epic,5
github.com/equib/equib,0
github.com/eranofek/maat,37
github.com/ericagol/celerite.jl,9
github.com/ericagol/nbodygradient.jl,26
github.com/ericagol/ttvfaster,11
github.com/ericmandel/funtools,26
github.com/ericsteinbring/aotools,0
github.com/ericsteinbring/pdq,0
github.com/ericsteinbring/special-blurring,0
github.com/ericsteinbring/virtual_telescope,0
github.com/erikhom/aida,21
github.com/ernewton/tellrv,2
github.com/esandford/eightbittransit,8
github.com/esheldon/ngmix,45
github.com/esopanda/ftbg,3
github.com/esperlman/jetcurry,0
github.com/esplint/iracpm,0
github.com/esquivas/guacho,7
github.com/etempel/bisous,3
github.com/ethankruse/koi3278,9
github.com/evanoconnor/gr1d,42
github.com/eventdisplay/eventdisplay,13
github.com/ewanbarr/peasoup,29
